,TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
2135,20181211180680,78,4,43,5,0,6,-1,0,0,0,0
2136,20181211180689,80,4,47,2,0,7,-1,60,0,0,0
2137,20181211180695,85,4,43,2,0,2,-1,61,0,0,0
2138,20181211180708,64,1,49,-1,0,2,-1,0,0,0,-1
2139,20181211180721,80,4,41,2,0,2,-1,60,0,0,0
2140,20181211180721,85,4,42,2,0,3,-1,60,0,0,0
2141,20181211180749,72,4,34,3,0,3,-1,0,0,0,0
2142,20181211180759,73,3,33,-1,0,3,-1,0,0,0,-1
2143,20181211180787,85,3,43,-1,0,3,-1,60,0,0,-1
2144,20181211180804,68,4,33,5,0,8,-1,0,0,0,0
2145,20181211180804,70,4,34,5,0,9,-1,0,0,0,0
2146,20181211180804,85,4,47,3,0,10,-1,60,0,0,0
2147,20181211180833,70,1,44,-1,0,6,-1,0,0,0,-1
2148,20181211180833,71,4,47,3,0,7,-1,0,0,0,0
2149,20181211180863,65,4,41,15,0,4,-1,0,0,0,0
2150,20181211180897,85,4,33,17,0,2,-1,60,0,0,0
2151,20181211180912,80,3,44,-1,0,2,-1,0,0,0,-1
2152,20181211180914,85,1,56,-1,0,3,-1,60,0,0,-1
2153,20181211180919,73,2,33,-1,0,2,-1,0,0,0,-1
2154,20181211180937,79,4,33,4,0,5,-1,0,0,0,0
2155,20181211181001,85,4,33,6,0,3,-1,60,0,0,0
2156,20181211181023,85,4,34,15,0,2,-1,60,0,0,0
2157,20181211181047,63,2,34,-1,0,5,-1,0,0,0,-1
2158,20181211181053,60,1,56,-1,0,2,-1,0,0,0,-1
2159,20181211181077,72,2,33,-1,0,2,-1,0,0,0,-1
2160,20181211181086,85,4,47,2,0,4,-1,60,0,0,0
2161,20181211181096,80,4,44,15,0,3,-1,0,0,0,0
2162,20181211181113,85,2,39,-1,0,4,-1,60,0,0,-1
2163,20181211181124,80,4,20,10,1,2,2,0,0,0,0
2164,20181211181131,76,4,20,3,1,2,2,0,0,0,0
2165,20181211181140,80,4,34,2,0,4,-1,60,0,0,0
2166,20181211181172,85,4,39,7,0,3,-1,60,0,0,0
2167,20181211181212,80,4,43,4,0,4,-1,0,0,0,0
2168,20181211181224,72,4,37,2,0,2,-1,0,0,0,0
2169,20181211181226,85,4,41,2,0,4,-1,60,0,0,0
2170,20181211181226,85,4,42,2,0,5,-1,60,0,0,0
2171,20181211181247,85,4,33,20,0,2,-1,60,0,0,0
2172,20181211181272,80,3,47,-1,0,5,-1,61,0,0,-1
2173,20181211181272,85,3,48,-1,0,6,-1,0,0,0,-1
2174,20181211181272,57,4,39,2,0,7,-1,0,0,0,0
2175,20181211181319,80,3,24,-1,1,2,2,0,0,0,-1
2176,20181211181353,66,4,56,4,0,5,-1,0,0,0,0
2177,20181211181443,80,4,39,1,0,3,-1,0,0,0,0
2178,20181211181443,80,4,40,1,0,4,-1,60,0,0,0
2179,20181211181448,85,4,56,3,0,2,-1,60,0,0,0
2180,20181211181457,79,4,47,1,0,4,-1,0,0,0,0
2181,20181211181471,60,1,43,-1,0,2,-1,0,0,0,-1
2182,20181211181480,85,3,43,-1,0,2,-1,60,0,0,-1
2183,20181211181504,63,4,20,4,1,2,2,0,0,0,0
2184,20181211181538,85,4,43,15,0,2,-1,61,0,0,0
2185,20181211181538,85,4,43,15,0,3,-1,61,0,0,0
2186,20181211181538,85,4,43,15,0,4,-1,61,0,0,0
2187,20181211181538,79,4,43,15,0,5,-1,42,0,0,0
2188,20181211181538,85,4,43,15,0,6,-1,61,0,0,0
2189,20181211181558,75,4,33,5,0,6,-1,0,0,0,0
2190,20181211181568,78,4,38,4,0,2,-1,0,0,0,0
2191,20181211181615,65,4,20,6,1,2,2,0,0,0,0
2192,20181211181620,71,4,33,2,0,3,-1,0,0,0,0
2193,20181211181620,75,4,34,2,0,4,-1,0,0,0,0
2194,20181211181625,80,4,33,2,0,2,-1,60,0,0,0
2195,20181211181678,80,4,44,3,0,8,-1,60,0,0,0
2196,20181211181678,74,4,34,10,0,9,-1,0,0,0,0
2197,20181211181678,76,4,39,7,0,10,-1,0,0,0,0
2198,20181211181690,85,4,33,13,0,4,-1,60,0,0,0
2199,20181211181749,85,3,35,-1,0,2,-1,60,0,0,-1
2200,20181211181771,74,4,48,12,0,7,-1,0,0,0,0
2201,20181211181771,60,1,44,-1,0,8,-1,0,0,0,-1
2202,20181211181771,60,1,44,-1,0,9,-1,0,0,0,-1
2203,20181211181780,74,4,47,10,0,3,-1,0,0,0,0
2204,20181211181813,71,4,33,10,0,3,-1,0,0,0,0
2205,20181211181830,80,4,43,3,0,2,-1,0,0,0,0
2206,20181211181841,79,3,33,-1,0,3,-1,0,0,0,-1
2207,20181211181841,76,3,34,-1,0,4,-1,0,0,0,-1
2208,20181211181925,85,1,40,-1,0,3,-1,60,0,0,-1
2209,20181211181925,85,2,39,-1,0,4,-1,60,0,0,-1
2210,20181211181929,80,4,47,3,0,4,-1,60,0,0,0
2211,20181211181966,80,4,33,10,0,2,-1,60,0,0,0
2212,20181211181972,68,4,47,3,0,3,-1,0,0,0,0
2213,20181211182015,85,4,43,12,0,2,-1,60,0,0,0
2214,20181211182105,85,4,24,6,1,4,4,0,0,0,0
2215,20181211182124,85,4,41,4,0,2,-1,60,0,0,0
2216,20181211182146,85,3,37,-1,0,2,-1,60,0,0,-1
2217,20181211182146,85,4,37,3,0,3,-1,60,0,0,0
2218,20181211182166,80,4,34,4,0,4,-1,60,0,0,0
2219,20181211182183,71,4,33,2,0,4,-1,0,0,0,0
2220,20181211182201,62,1,35,-1,0,3,-1,0,0,0,-1
2221,20181211182218,68,1,43,-1,0,3,-1,0,0,0,-1
2222,20181211182218,85,4,33,5,0,4,-1,60,0,0,0
2223,20181211182231,59,4,43,1,0,3,-1,0,0,0,0
2224,20181211182283,77,4,33,7,0,2,-1,0,0,0,0
2225,20181211182295,80,4,33,10,0,7,-1,60,0,0,0
2226,20181211182295,70,4,26,2,1,6,6,0,0,0,0
2227,20181211182405,79,2,43,-1,0,2,-1,0,0,0,-1
2228,20181211182472,77,2,33,-1,0,2,-1,0,0,0,-1
2229,20181211182479,85,4,37,3,0,2,-1,60,0,0,0
2230,20181211182479,80,1,43,-1,0,3,-1,60,0,0,-1
2231,20181211182519,76,4,20,3,1,2,2,0,0,0,0
2232,20181211182528,80,4,39,6,0,5,-1,60,0,0,0
